Region,Sub-region,Country,City, Source,Indicator,2005,2006,2007,2008,2009,2010,2011,2012
Africa,Eastern Africa,Kenya,Nairobi,CTS,Count,196,177,121,117,133,140,191,209
Africa,Eastern Africa,Kenya,Nairobi,CTS,Rate,7.0,6.1,4.1,3.9,4.4,4.5,6.1,6.1
Africa,Eastern Africa,Mauritius,Port Louis,CTS,Count,8,5,8,14,11,12,8,
Africa,Eastern Africa,Mauritius,Port Louis,CTS,Rate,5.4,3.4,5.4,9.4,7.4,8.1,5.4,
Africa,Eastern Africa,Mozambique,Maputo,CTS,Count,104,75,92,53,39,,,
Africa,Eastern Africa,Mozambique,Maputo,CTS,Rate,9.7,6.9,8.4,4.8,3.5,,,
Africa,Eastern Africa,South Sudan,Juba,UN-PKO,Count,,,,,,,,132
Africa,Eastern Africa,South Sudan,Juba,UN-PKO,Rate,,,,,,,,12.0
Africa,Eastern Africa,Uganda,Kampala,CTS,Count,,,,401,459,360,,
Africa,Eastern Africa,Uganda,Kampala,CTS,Rate,,,,13.4,15.3,12.0,,
Africa,Eastern Africa,United Republic of Tanzania,Dar es Salaam,NGO,Count,362,,,,,,,
Africa,Eastern Africa,United Republic of Tanzania,Dar es Salaam,NGO,Rate,12.8,,,,,,,
Africa,Eastern Africa,Zambia,Lusaka,National police,Count,121,129,162,46,142,121,,
Africa,Eastern Africa,Zambia,Lusaka,National police,Rate,8.9,9.0,10.8,2.9,8.6,7.0,,
Africa,Middle Africa,Democratic Republic of the Congo,Kinshasa,UN-PKO,Count,,,,,,163,,
Africa,Middle Africa,Democratic Republic of the Congo,Kinshasa,UN-PKO,Rate,,,,,,1.6,,
Africa,Middle Africa,Sao Tome and Principe,Sao Tome,CTS,Count,,2,2,2,3,,,
Africa,Middle Africa,Sao Tome and Principe,Sao Tome,CTS,Rate,,3.6,3.6,3.6,5.3,,,
Africa,Northern Africa,Algeria,Algiers,CTS,Count,21,22,38,47,35,31,40,
Africa,Northern Africa,Algeria,Algiers,CTS,Rate,0.8,0.8,1.4,1.7,1.3,1.1,1.4,
Africa,Northern Africa,Egypt,Cairo,CTS,Count,21,44,62,93,74,200,271,
Africa,Northern Africa,Egypt,Cairo,CTS,Rate,0.2,0.4,0.6,0.8,0.7,1.8,2.4,
Africa,Northern Africa,Morocco,Casablanca,CTS,Count,44,30,41,36,52,,,
Africa,Northern Africa,Morocco,Casablanca,CTS,Rate,1.2,0.8,1.1,1.0,1.4,,,
Africa,Northern Africa,Sudan,Khartoum,CTS,Count,,,,263,,,,
Africa,Northern Africa,Sudan,Khartoum,CTS,Rate,,,,5.0,,,,
Africa,Southern Africa,Botswana,Gaborone,CTS,Count,,,,,36,,,
Africa,Southern Africa,Botswana,Gaborone,CTS,Rate,,,,,16.1,,,
Africa,Southern Africa,Lesotho,Maseru,CTS,Count,,,146,136,141,,,
Africa,Southern Africa,Lesotho,Maseru,CTS,Rate,,,64.1,59.7,61.9,,,
