Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Eastern Africa,Burundi,,,,,, 341 , 376 , 347 , 349 , 451 , 416 , 436 ,
Africa,Eastern Africa,Comoros,,, 58 ,,,,, 59 ,,,,, 60 
Africa,Eastern Africa,Djibouti,,, 63 ,,,,, 63 ,,,,, 60 
Africa,Eastern Africa,Eritrea,,, 382 ,,,,, 389 ,,,,, 390 
Africa,Eastern Africa,Ethiopia,,," 7,214 ",,,,," 7,419 ",,,,," 7,552 "
Africa,Eastern Africa,Kenya,," 1,395 "," 1,260 "," 1,286 "," 1,281 "," 1,413 "," 2,218 "," 2,239 "," 2,641 "," 2,761 "," 2,878 "," 2,649 "," 2,648 "
Africa,Eastern Africa,Madagascar,, 130 , 326 , 872 , 582 , 610 , 141 , 130 ,,,,,
Africa,Eastern Africa,Malawi, 300 , 411 , 200 , 821 , 690 , 780 , 320 , 520 , 343 , 279 ,,,
Africa,Eastern Africa,Mauritius,,,,,,, 38 , 33 , 34 ,,,,
Africa,Eastern Africa,Mayotte,,,, 1 , 27 , 5 , 12 ,,,,,,
Africa,Eastern Africa,Mozambique," 1,044 "," 1,130 "," 1,089 ", 894 , 849 , 995 , 823 , 875 , 849 ,,,,
Africa,Eastern Africa,Réunion,, 23 , 25 , 19 , 24 , 18 , 15 ,,,,,,
Africa,Eastern Africa,Rwanda,,,, 475 , 472 , 438 , 377 , 500 ,,, 500 ,,
Africa,Eastern Africa,Seychelles, 10 , 6 , 3 , 9 , 5 , 3 , 5 , 2 ,,,,,
Africa,Eastern Africa,Somalia,,, 517 ,,,,, 636 ,,,,, 599 
Africa,Eastern Africa,Uganda," 2,136 "," 2,049 "," 2,492 "," 2,696 "," 2,645 "," 2,793 "," 3,233 "," 3,160 "," 3,753 "," 4,066 "," 3,857 "," 4,473 ",
Africa,Eastern Africa,United Republic of Tanzania,,,,,,,," 3,888 "," 4,149 "," 4,092 "," 3,697 "," 3,902 "," 3,746 "
Africa,Eastern Africa,Zambia,,,,,, 694 , 812 , 814 ,,,,,
Africa,Eastern Africa,Zimbabwe," 1,360 "," 1,356 "," 1,350 "," 1,072 ",,,, 711 ,, 981 ,,,
