Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Eastern Africa,Burundi,0.00,,,,,3.87,4.11,3.67,3.56,4.45,3.97,4.03,
Africa,Eastern Africa,Comoros,0.00,,9.43,,,,,8.42,,,,,7.60
Africa,Eastern Africa,Djibouti,0.00,,8.16,,,,,7.60,,,,,6.77
Africa,Eastern Africa,Eritrea,0.00,,9.11,,,,,8.30,,,,,7.46
Africa,Eastern Africa,Ethiopia,0.00,,9.42,,,,,8.47,,,,,7.60
Africa,Eastern Africa,Kenya,0.00,4.05,3.56,3.54,3.44,3.69,5.65,5.55,6.38,6.49,6.59,5.90,5.75
Africa,Eastern Africa,Madagascar,0.00,0.73,1.78,4.63,3.00,3.06,0.69,0.62,,,,,
Africa,Eastern Africa,Malawi,2.48,3.31,1.57,6.26,5.11,5.61,2.23,3.52,2.25,1.78,,,
Africa,Eastern Africa,Mauritius,0.00,,,,,,3.06,2.64,2.71,,,,
Africa,Eastern Africa,Mayotte,0.00,,,0.54,14.20,2.55,5.93,,,,,,
Africa,Eastern Africa,Mozambique,5.24,5.51,5.15,4.11,3.80,4.33,3.48,3.60,3.39,,,,
Africa,Eastern Africa,Réunion,0.00,2.94,3.16,2.37,2.97,2.20,1.82,,,,,,
Africa,Eastern Africa,Rwanda,0.00,,,5.15,4.98,4.49,3.76,4.86,,,4.51,,
Africa,Eastern Africa,Seychelles,11.66,6.87,3.38,10.01,5.50,3.27,5.41,2.15,,,,,
Africa,Eastern Africa,Somalia,0.00,,6.10,,,,,6.64,,,,,5.56
Africa,Eastern Africa,Uganda,8.15,7.56,8.89,9.30,8.82,9.01,10.08,9.53,10.95,11.49,10.55,11.84,
Africa,Eastern Africa,United Republic of Tanzania,0.00,,,,,,,8.52,8.80,8.41,7.36,7.53,7.01
Africa,Eastern Africa,Zambia,0.00,,,,,5.29,6.01,5.85,,,,,
Africa,Eastern Africa,Zimbabwe,10.65,10.54,10.40,8.17,,,,5.09,,6.74,,,
Africa,Middle Africa,Angola,0.00,,11.49,,,,,10.49,,,,,9.65
Africa,Middle Africa,Cameroon,0.00,,,,,3.97,6.36,4.85,3.36,4.01,2.86,2.64,5.93
Africa,Middle Africa,Central African Republic,0.00,,14.94,,,,,13.63,,,,,13.09
Africa,Middle Africa,Chad,0.00,,10.72,,,,,9.68,,,,,9.02
Africa,Middle Africa,Congo,0.00,,11.29,,,,,10.65,,,,,10.08
Africa,Middle Africa,Democratic Republic of the Congo,0.00,,14.30,,,,,13.97,,,,,13.36
Africa,Middle Africa,Equatorial Guinea,0.00,,3.49,,,,,3.38,,,,,3.21
Africa,Middle Africa,Gabon,0.00,,11.21,,,,,9.27,,,,,9.00
Africa,Middle Africa,Sao Tome and Principe,0.00,,,2.55,2.50,8.56,2.99,3.51,3.44,,,,
Africa,Northern Africa,Algeria,2.01,1.37,0.61,0.92,0.79,0.94,0.78,0.70,0.76,1.40,1.26,1.48,1.37
Africa,Northern Africa,Egypt,0.65,0.44,0.70,0.72,0.88,1.22,1.13,2.24,3.23,,,,
Africa,Northern Africa,Libya,0.00,,3.66,,,,,3.06,,,,,2.49
Africa,Northern Africa,Morocco,1.71,1.56,1.54,1.62,1.67,1.36,1.36,1.40,1.36,1.16,1.28,1.05,
Africa,Northern Africa,South Sudan,0.00,,,,,,,,,13.70,,,
Africa,Northern Africa,Sudan,0.00,,7.50,,,,,6.80,,,,,6.45
Africa,Northern Africa,Tunisia,0.00,1.95,2.57,2.44,2.65,2.69,2.42,2.69,,3.05,,,
Africa,Southern Africa,Botswana,17.23,14.11,15.61,13.77,14.50,14.28,14.40,14.80,10.53,,,,
Africa,Southern Africa,Lesotho,0.00,,,,45.76,38.13,36.32,38.00,,,,,
Africa,Southern Africa,Namibia,0.00,17.58,,,,16.73,18.03,14.31,13.75,16.93,,,
Africa,Southern Africa,South Africa,42.20,39.43,38.87,39.17,37.20,36.04,33.01,30.88,29.88,30.68,31.66,32.99,34.27
Africa,Southern Africa,Swaziland,13.24,13.34,13.76,10.82,14.98,18.81,15.93,17.43,,,8.16,,
Africa,Western Africa,Benin,0.00,,7.01,,,,,6.35,,,,,6.01
Africa,Western Africa,Burkina Faso,0.00,,0.58,0.65,0.76,0.87,0.65,0.58,0.55,0.71,,,
Africa,Western Africa,Cabo Verde,0.00,,,,6.03,7.03,7.81,7.95,10.70,11.18,10.65,12.65,8.84
Africa,Western Africa,Côte d'Ivoire,0.00,,14.87,,,,,12.80,,,,,11.84
Africa,Western Africa,Gambia,0.00,,9.84,,,,,9.81,,,,,9.07
Africa,Western Africa,Ghana,2.15,2.17,1.84,1.88,1.77,1.86,1.80,1.74,1.70,,,,
Africa,Western Africa,Guinea,0.00,,10.06,,,,,9.26,,,,,8.46
Africa,Western Africa,Guinea-Bissau,0.00,,11.02,,,,,9.97,,,,,9.17
Africa,Western Africa,Liberia,0.00,,,,2.84,4.82,3.79,3.26,3.95,3.22,,,
Africa,Western Africa,Mali,0.00,,12.60,,,,,12.11,,,,,10.82
Africa,Western Africa,Mauritania,0.00,,12.30,,,,,10.92,,,,,10.22
Africa,Western Africa,Niger,0.00,,,,,,,,4.90,4.47,,,
Africa,Western Africa,Nigeria,0.00,,11.76,,,,,10.66,,,,,9.79
Africa,Western Africa,Senegal,0.00,,9.29,,,,,8.48,,,,,7.30
Africa,Western Africa,Sierra Leone,0.00,2.30,1.95,1.93,2.49,3.33,2.80,2.82,3.16,1.87,,,1.92
Africa,Western Africa,Togo,0.00,,10.87,,,,,9.77,,,,,9.14
Americas,Caribbean,Anguilla,8.32,16.20,0.00,38.75,30.43,7.48,7.37,0.00,0.00,35.38,6.99,27.66,
Americas,Caribbean,Antigua and Barbuda,6.18,4.89,3.63,13.18,20.14,18.75,18.54,6.88,,11.23,,,
Americas,Caribbean,Aruba,4.12,2.03,12.00,9.92,5.93,4.93,3.94,3.94,,,,,
Americas,Caribbean,Bahamas,15.83,13.64,15.79,18.17,22.79,20.94,24.52,26.05,34.63,29.81,,,
Americas,Caribbean,Barbados,12.12,8.06,10.58,12.73,9.78,9.02,6.82,11.09,9.62,7.81,8.50,8.82,10.91
Americas,Caribbean,British Virgin Islands,8.97,17.75,,8.37,,,,,,,,,
Americas,Caribbean,Cayman Islands,7.38,12.33,,2.00,3.89,7.56,14.74,,,,,,
Americas,Caribbean,Cuba,5.72,5.87,6.07,5.11,5.03,4.56,5.00,4.47,4.72,,,,
Americas,Caribbean,Dominica,11.42,11.38,11.34,7.07,9.89,9.88,18.31,21.08,8.40,,,,
